Date,Adjustment for misreporting on income tax returns,Adjustment to depreciate expenditures for intellectual property products,"Adjustment to depreciate expenditures for mining exploration, shafts, and wells",Bad debt expense,Costs of trading or issuing corporate securities,Depletion on domestic minerals,Disaster adjustments (net),Dividends paid by Federal Reserve banks and certain federally sponsored credit agencies,"Dividends paid in cash or assets, IRS",Dividends received by U.S. corporations,Dividends received from domestic corporations,Earnings of U.S. residents remitted by their unincorporated foreign affiliates,Earnings remitted to foreign residents from their unincorporated U.S. affiliates,"Equals: Net corporate dividend payments, NIPAs","Equals: Profits before taxes, NIPAs","Equals: Taxes on corporate income, NIPAs",Excess of employer expenses over actual employer contributions for defined benefit employee pension plans,Federal Reserve banks,"Federal income and excess profits taxes, IRS",Federally sponsored credit agencies,"Gains, net of losses, from sale of property",Income of organizations not filing corporation income tax returns,Income on equities in foreign corporations and branches (to U.S. corporations),Interest payments of regulated investment companies,Investment tax credit,Other,Other tax credits,"Plus: Income received from equities in foreign corporations and branches by all U.S. residents, net of corresponding payments",Posttabulation amendments and revisions,"Posttabulation amendments and revisions, including results of audit and renegotiation and carryback refunds","Profits after tax, NIPAs (21-29)",State and local taxes on corporate income,Taxes paid by domestic corporations to foreign governments on income earned abroad,"Total receipts less total deductions, IRS","U.S. receipts of dividends from abroad, net of payments to abroad",U.S. tax credits claimed for foreign taxes paid
1929-01-01,664.0,321.0,88.0,942.0,320.0,559.0,,4.0,8520.0,2830.0,2593.0,167.0,24.0,5805.0,10911.0,1365.0,,38.0,1193.0,,745.0,81.0,417.0,,,43.0,,232.0,53.0,62.0,9546.0,145.0,,11870.0,232.0,35.0
1930-01-01,609.0,272.0,47.0,980.0,180.0,463.0,,0.0,8184.0,2760.0,2571.0,134.0,23.0,5468.0,4559.0,842.0,,6.0,712.0,,-242.0,31.0,334.0,,,25.0,,137.0,67.0,61.0,3717.0,98.0,,4649.0,137.0,29.0
1931-01-01,408.0,208.0,-43.0,1183.0,97.0,268.0,,0.0,6151.0,2061.0,1969.0,52.0,19.0,4066.0,562.0,498.0,,0.0,399.0,,-1288.0,29.0,150.0,,,29.0,,-4.0,77.5,43.0,64.0,75.0,,-777.0,-4.0,19.0
1932-01-01,341.0,136.0,-22.0,1313.0,41.0,246.0,,2.0,3886.0,1303.0,1260.0,22.0,12.0,2546.0,-1346.0,383.0,,21.0,286.0,,-1565.0,77.0,67.0,,,56.0,,-34.0,88.0,47.0,-1729.0,57.0,,-3829.0,-34.0,7.0
1933-01-01,421.0,106.0,-58.0,1249.0,44.0,246.0,,0.0,3127.0,1080.0,1026.0,30.0,10.0,2038.0,1832.0,521.0,,7.0,423.0,,-1355.0,80.0,90.0,,,73.0,,-2.0,239.0,58.0,1311.0,59.0,,-930.0,-2.0,19.0
1934-01-01,553.0,140.0,-36.0,1182.0,35.0,312.0,,0.0,4859.0,2318.0,2217.0,62.0,10.0,2567.0,3215.0,744.0,,8.0,596.0,,-54.0,80.0,173.0,,,72.0,,60.0,121.5,76.0,2471.0,100.0,,2970.0,60.0,28.0
1935-01-01,531.0,158.0,4.0,965.0,99.0,349.0,,0.0,5941.0,3177.0,3014.0,115.0,16.0,2844.0,4371.0,951.0,,6.0,779.0,,187.0,52.0,290.0,,,46.0,,159.0,104.5,73.0,3420.0,131.0,,5423.0,159.0,32.0
1936-01-01,640.0,180.0,52.0,901.0,150.0,437.0,,0.0,7379.0,2869.0,2676.0,136.0,24.0,4523.0,7107.0,1409.0,,5.0,1192.0,,372.0,50.0,343.0,,,45.0,,104.0,189.0,96.0,5698.0,157.0,,7771.0,104.0,36.0
1937-01-01,667.0,183.0,132.0,756.0,97.0,524.0,,0.0,7514.0,2891.0,2682.0,135.0,24.0,4660.0,7629.0,1502.0,,9.0,1276.0,,143.0,59.0,357.0,,,50.0,,272.0,173.0,100.0,6127.0,165.0,,7830.0,122.0,39.0
1938-01-01,476.0,163.0,99.0,672.0,60.0,437.0,,0.0,5013.0,2103.0,1791.0,52.0,22.0,3165.0,4603.0,1029.0,,1.0,860.0,,44.0,63.0,369.0,,,62.0,,301.0,214.5,78.0,3574.0,134.0,,4131.0,247.0,43.0
1939-01-01,609.0,154.0,91.0,715.0,70.0,438.0,,0.0,5747.0,2156.0,1906.0,70.0,23.0,3766.0,7778.0,1441.0,,9.0,1232.0,,37.0,57.0,328.0,,,48.0,,324.0,217.5,99.0,6337.0,156.0,,7178.0,184.0,46.0
1940-01-01,566.0,203.0,107.0,617.0,70.0,475.0,,0.0,6089.0,2266.0,2021.0,97.0,12.0,4016.0,10636.0,2834.0,,14.0,2549.0,,-720.0,81.0,356.0,,,67.0,,266.0,272.5,146.0,7802.0,199.0,,9348.0,234.0,60.0
1941-01-01,676.0,424.0,117.0,736.0,58.0,544.0,,0.0,6701.0,2418.0,2235.0,132.0,10.0,4431.0,18762.0,7610.0,,8.0,7168.0,,-994.0,58.0,338.0,,,50.0,,391.0,270.0,228.0,11152.0,277.0,,16675.0,231.0,63.0
1942-01-01,724.0,433.0,36.0,544.0,33.0,578.0,,0.0,5607.0,1500.0,1344.0,127.0,9.0,4254.0,22476.0,11415.0,,14.0,12256.0,,-203.0,87.0,309.0,,,73.0,,378.0,-1260.0,-1123.0,11061.0,350.0,,23389.0,225.0,68.0
1943-01-01,776.0,298.0,63.0,418.0,46.0,644.0,,0.0,5728.0,1468.0,1334.0,108.0,7.0,4446.0,25846.0,14074.0,,26.0,15926.0,,-196.0,109.0,266.0,,,83.0,,372.0,-1959.5,-2230.0,11772.0,458.0,,28126.0,238.0,80.0
