Date,Government
1960-01-01,0.6
1961-01-01,5.4
1962-01-01,6.6
1963-01-01,2.4
1964-01-01,2.5
1965-01-01,3.2
1966-01-01,8.7
1967-01-01,7.9
1968-01-01,3.4
1969-01-01,0.1
1970-01-01,-2.1
1971-01-01,-1.9
1972-01-01,-0.5
1973-01-01,-0.3
1974-01-01,2.2
1975-01-01,2.2
1976-01-01,0.5
1977-01-01,1.2
1978-01-01,2.9
1979-01-01,1.8
1980-01-01,1.8
1981-01-01,1.0
1982-01-01,1.8
1983-01-01,3.7
1984-01-01,3.5
1985-01-01,6.7
1986-01-01,5.4
1987-01-01,2.9
1988-01-01,1.2
1989-01-01,2.8
1990-01-01,3.2
1991-01-01,1.2
1992-01-01,0.5
1993-01-01,-0.8
1994-01-01,0.1
1995-01-01,0.5
1996-01-01,0.9
1997-01-01,1.6
1998-01-01,2.4
1999-01-01,3.3
2000-01-01,1.8
2001-01-01,3.8
2002-01-01,4.5
2003-01-01,2.1
2004-01-01,1.5
2005-01-01,0.7
2006-01-01,1.6
2007-01-01,1.8
2008-01-01,2.5
2009-01-01,3.6
2010-01-01,-0.1
2011-01-01,-3.2
2012-01-01,-2.1
2013-01-01,-2.4
2014-01-01,-0.9
2015-01-01,2.0
2016-01-01,2.0
2017-01-01,0.6
2018-01-01,2.0
2019-01-01,3.9
2020-01-01,3.4
2021-01-01,-0.3
2022-01-01,-1.1
2023-01-01,3.9
