Date,Consumption of fixed capital,Corporate business,Domestic business,Farm,Federal,Financial,General government,Government,Government enterprises,Households and institutions,Noncorporate business,Nonfarm,Nonfarm business,Nonfinancial,Nonprofit institutions serving households,Other private business,Owner-occupied housing,Private,Proprietors' income,Rental income of persons,Sole proprietorships and partnerships,State and local
1947-01-01,28071.0,9036.0,13578.0,1086.0,4994.0,293.0,11385.0,11780.0,395.0,2713.0,4543.0,2511.0,12864.0,8743.0,585.0,946.0,2128.0,16291.0,98.0,848.0,3597.0,896.0
1947-04-01,28706.0,9561.0,14400.0,1154.0,4785.0,313.0,11020.0,11401.0,381.0,2904.0,4840.0,2688.0,13602.0,9247.0,624.0,998.0,2280.0,17305.0,106.0,892.0,3842.0,915.5
1947-07-01,29515.0,10059.0,15175.0,1228.0,4685.5,330.0,10871.0,11273.0,403.0,3067.0,5117.0,2849.0,14323.0,9728.0,657.0,1040.0,2410.0,18242.0,113.0,927.0,4077.0,951.5
1947-10-01,30191.0,10529.0,15902.0,1308.0,4558.5,344.0,10670.0,11088.0,418.0,3200.0,5373.0,2992.0,14984.0,10185.0,682.0,1073.0,2518.0,19102.0,120.0,953.0,4301.0,985.5
1948-01-01,30615.0,10972.0,16582.0,1394.0,4342.0,354.0,10297.0,10728.0,431.0,3304.0,5610.0,3120.0,15589.0,10619.0,700.0,1096.0,2604.0,19886.0,126.0,970.0,4514.0,1022.5
1948-04-01,31086.0,11356.0,17180.0,1475.0,4201.5,363.0,10061.0,10511.0,450.0,3394.0,5824.0,3233.0,16123.0,10992.0,714.0,1115.0,2680.0,20574.0,132.0,983.0,4709.0,1054.0
1948-07-01,31650.0,11680.0,17696.0,1552.0,4150.5,373.0,10007.0,10484.0,477.0,3470.0,6016.0,3334.0,16589.0,11307.0,725.0,1131.0,2745.0,21166.0,138.0,993.0,4885.0,1091.5
1948-10-01,31959.0,11944.0,18130.0,1623.0,4042.5,382.0,9812.0,10298.0,485.0,3531.0,6186.0,3421.0,16958.0,11562.0,732.0,1142.0,2799.0,21661.0,144.0,998.0,5044.0,1106.0
1949-01-01,32249.0,12149.0,18483.0,1690.0,3990.0,392.0,9703.0,10188.0,486.0,3578.0,6333.0,3495.0,17242.0,11758.0,736.0,1149.0,2842.0,22061.0,149.0,1000.0,5185.0,1104.5
1949-04-01,32256.0,12336.0,18804.0,1751.0,3823.5,400.0,9336.0,9824.0,488.0,3629.0,6467.0,3561.0,17503.0,11936.0,741.0,1156.0,2888.0,22432.0,154.0,1002.0,5312.0,1088.5
1949-07-01,32255.0,12506.0,19094.0,1805.0,3657.0,408.0,8993.0,9478.0,485.0,3683.0,6588.0,3620.0,17734.0,12097.0,746.0,1162.0,2937.0,22777.0,157.0,1005.0,5426.0,1082.0
1949-10-01,32382.0,12657.0,19352.0,1854.0,3565.5,416.0,8800.0,9288.0,488.0,3742.0,6695.0,3672.0,17946.0,12241.0,753.0,1169.0,2989.0,23094.0,160.0,1009.0,5526.0,1078.5
1950-01-01,32405.0,12790.0,19580.0,1897.0,3465.5,422.0,8531.0,9021.0,489.0,3805.0,6789.0,3716.0,18131.0,12368.0,760.0,1176.0,3045.0,23384.0,162.0,1014.0,5613.0,1045.5
1950-04-01,32769.0,13043.0,19982.0,1951.0,3395.0,432.0,8397.0,8890.0,493.0,3897.0,6939.0,3797.0,18482.0,12610.0,777.0,1191.0,3121.0,23879.0,166.0,1026.0,5748.0,1050.0
1950-07-01,33572.0,13414.0,20559.0,2017.0,3397.5,445.0,8473.0,8992.0,519.0,4020.0,7145.0,3913.0,19018.0,12969.0,803.0,1215.0,3217.0,24580.0,171.0,1044.0,5930.0,1099.0
1950-10-01,34823.0,13905.0,21311.0,2094.0,3500.5,461.0,8798.0,9338.0,540.0,4174.0,7406.0,4066.0,19713.0,13444.0,840.0,1246.0,3334.0,25485.0,178.0,1068.0,6160.0,1168.5
1951-01-01,36253.0,14515.0,22239.0,2183.0,3578.5,479.0,9094.0,9658.0,564.0,4357.0,7724.0,4255.0,20575.0,14036.0,885.0,1286.0,3471.0,26596.0,186.0,1100.0,6438.0,1250.5
1951-04-01,37336.0,15007.0,22985.0,2258.0,3618.5,495.0,9253.0,9837.0,583.0,4515.0,7978.0,4402.0,21263.0,14512.0,922.0,1318.0,3593.0,27500.0,193.0,1125.0,6660.0,1300.0
1951-07-01,38267.0,15382.0,23551.0,2321.0,3700.0,508.0,9471.0,10069.0,599.0,4647.0,8169.0,4506.0,21780.0,14874.0,949.0,1342.0,3698.0,28198.0,198.0,1144.0,6827.0,1335.0
1951-10-01,39045.0,15640.0,23937.0,2371.0,3819.0,518.0,9746.0,10354.0,608.0,4754.0,8297.0,4568.0,22124.0,15122.0,967.0,1358.0,3786.0,28690.0,202.0,1156.0,6939.0,1358.0
1952-01-01,39530.0,15780.0,24142.0,2408.0,3926.0,525.0,9938.0,10554.0,616.0,4835.0,8362.0,4588.0,22298.0,15255.0,976.0,1366.0,3859.0,28976.0,204.0,1163.0,6996.0,1351.0
1952-04-01,40176.0,15970.0,24401.0,2441.0,4043.0,532.0,10232.0,10859.0,626.0,4916.0,8431.0,4616.0,22533.0,15438.0,987.0,1375.0,3929.0,29317.0,206.0,1169.0,7056.0,1386.5
1952-07-01,41003.0,16211.0,24715.0,2469.0,4210.0,540.0,10641.0,11291.0,649.0,4998.0,8503.0,4651.0,22840.0,15672.0,999.0,1383.0,3998.0,29712.0,208.0,1175.0,7120.0,1435.0
1952-10-01,41709.0,16503.0,25083.0,2494.0,4353.5,548.0,10875.0,11547.0,672.0,5079.0,8580.0,4694.0,23204.0,15955.0,1014.0,1392.0,4065.0,30162.0,211.0,1181.0,7188.0,1420.0
1953-01-01,42496.0,16845.0,25506.0,2515.0,4464.0,556.0,11159.0,11829.0,670.0,5161.0,8661.0,4744.0,23604.0,16288.0,1031.0,1401.0,4131.0,30667.0,214.0,1187.0,7260.0,1450.0
1953-04-01,43266.0,17164.0,25900.0,2535.0,4621.0,566.0,11447.0,12126.0,678.0,5240.0,8737.0,4792.0,23986.0,16598.0,1046.0,1410.0,4194.0,31140.0,217.0,1193.0,7327.0,1442.5
1953-07-01,43817.0,17459.0,26267.0,2553.0,4659.5,577.0,11532.0,12234.0,702.0,5315.0,8808.0,4837.0,24357.0,16883.0,1058.0,1418.0,4257.0,31583.0,221.0,1198.0,7390.0,1457.5
1953-10-01,44381.0,17732.0,26607.0,2570.0,4754.5,589.0,11685.0,12387.0,702.0,5387.0,8874.0,4879.0,24678.0,17143.0,1069.0,1426.0,4318.0,31994.0,224.0,1202.0,7448.0,1438.5
1954-01-01,44940.0,17982.0,26918.0,2585.0,4859.0,603.0,11862.0,12566.0,703.0,5456.0,8935.0,4917.0,24974.0,17380.0,1078.0,1433.0,4378.0,32374.0,227.0,1206.0,7502.0,1423.5
1954-04-01,45691.0,18225.0,27222.0,2597.0,4980.0,613.0,12221.0,12932.0,711.0,5537.0,8997.0,4959.0,25274.0,17612.0,1089.0,1441.0,4448.0,32760.0,229.0,1212.0,7556.0,1486.5
1954-07-01,46300.0,18462.0,27520.0,2604.0,5084.5,621.0,12424.0,13150.0,725.0,5631.0,9059.0,5004.0,25577.0,17840.0,1103.0,1451.0,4528.0,33151.0,231.0,1220.0,7608.0,1490.5
1954-10-01,46991.0,18691.0,27811.0,2606.0,5199.5,627.0,12709.0,13443.0,734.0,5736.0,9121.0,5052.0,25873.0,18064.0,1118.0,1462.0,4618.0,33548.0,232.0,1230.0,7658.0,1522.0
1955-01-01,47461.0,18913.0,28096.0,2605.0,5248.5,629.0,12774.0,13510.0,736.0,5855.0,9183.0,5103.0,26159.0,18283.0,1137.0,1475.0,4718.0,33950.0,233.0,1242.0,7708.0,1506.5
1955-04-01,48178.0,19260.0,28544.0,2614.0,5292.0,638.0,12898.0,13650.0,751.0,5984.0,9283.0,5179.0,26611.0,18623.0,1160.0,1491.0,4825.0,34528.0,235.0,1256.0,7793.0,1533.0
1955-07-01,49315.0,19734.0,29155.0,2634.0,5399.5,652.0,13256.0,14034.0,778.0,6126.0,9421.0,5278.0,27227.0,19082.0,1188.0,1510.0,4938.0,35281.0,239.0,1271.0,7911.0,1618.0
1955-10-01,50603.0,20333.0,29930.0,2664.0,5533.0,673.0,13599.0,14395.0,795.0,6279.0,9596.0,5400.0,27987.0,19660.0,1220.0,1532.0,5059.0,36209.0,245.0,1287.0,8064.0,1664.5
1956-01-01,52144.0,21058.0,30868.0,2704.0,5684.0,699.0,14010.0,14832.0,822.0,6444.0,9810.0,5547.0,28909.0,20359.0,1257.0,1558.0,5186.0,37311.0,253.0,1305.0,8251.0,1732.5
1956-04-01,53505.0,21760.0,31760.0,2738.0,5787.0,723.0,14309.0,15153.0,845.0,6592.0,10000.0,5682.0,29788.0,21037.0,1294.0,1580.0,5298.0,38352.0,260.0,1320.0,8420.0,1790.0
1956-07-01,54819.0,22439.0,32606.0,2765.0,5896.0,744.0,14618.0,15490.0,872.0,6723.0,10167.0,5806.0,30632.0,21695.0,1329.0,1597.0,5394.0,39329.0,265.0,1331.0,8570.0,1849.0
1956-10-01,56032.0,23094.0,33406.0,2785.0,6004.5,762.0,14899.0,15788.0,889.0,6838.0,10312.0,5917.0,31426.0,22333.0,1364.0,1610.0,5474.0,40244.0,270.0,1340.0,8702.0,1889.5
1957-01-01,57313.0,23727.0,34160.0,2798.0,6188.0,777.0,15312.0,16217.0,905.0,6936.0,10433.0,6017.0,32181.0,22950.0,1397.0,1618.0,5539.0,41096.0,273.0,1346.0,8815.0,1920.0
1957-04-01,58420.0,24315.0,34875.0,2818.0,6284.0,795.0,15585.0,16518.0,933.0,7027.0,10560.0,6115.0,32901.0,23519.0,1426.0,1627.0,5601.0,41901.0,276.0,1351.0,8933.0,1975.0
1957-07-01,59488.0,24858.0,35550.0,2845.0,6415.0,817.0,15880.0,16828.0,948.0,7109.0,10692.0,6211.0,33562.0,24041.0,1448.0,1636.0,5661.0,42660.0,281.0,1356.0,9056.0,1999.0
1957-10-01,60448.0,25357.0,36187.0,2878.0,6535.5,842.0,16121.0,17077.0,956.0,7184.0,10830.0,6305.0,34171.0,24514.0,1465.0,1646.0,5719.0,43371.0,286.0,1360.0,9184.0,2003.0
1958-01-01,61092.0,25811.0,36784.0,2918.0,6540.5,871.0,16098.0,17057.0,959.0,7251.0,10973.0,6398.0,34727.0,24940.0,1476.0,1657.0,5774.0,44035.0,292.0,1364.0,9316.0,1988.0
1958-04-01,62003.0,26227.0,37322.0,2953.0,6637.0,894.0,16373.0,17352.0,979.0,7329.0,11095.0,6476.0,35248.0,25333.0,1491.0,1666.0,5838.0,44651.0,297.0,1369.0,9429.0,2039.0
1958-07-01,62943.0,26604.0,37801.0,2982.0,6774.0,912.0,16725.0,17724.0,999.0,7418.0,11197.0,6541.0,35716.0,25692.0,1509.0,1674.0,5909.0,45219.0,299.0,1374.0,9524.0,2088.5
1958-10-01,63782.0,26942.0,38220.0,3006.0,6898.5,923.0,17025.0,18043.0,1018.0,7519.0,11279.0,6593.0,36127.0,26018.0,1531.0,1680.0,5987.0,45739.0,300.0,1380.0,9599.0,2123.0
1959-01-01,64464.0,27240.0,38581.0,3025.0,6983.5,930.0,17255.0,18253.0,998.0,7630.0,11340.0,6631.0,36446.0,26311.0,1556.0,1685.0,6074.0,46211.0,299.0,1386.0,9655.0,2143.5
1959-04-01,65122.0,27512.0,38904.0,3033.0,7085.5,933.0,17483.0,18480.0,997.0,7738.0,11392.0,6658.0,36758.0,26579.0,1582.0,1701.0,6157.0,46642.0,297.0,1403.0,9692.0,2154.5
1959-07-01,65789.0,27756.0,39191.0,3032.0,7205.5,934.0,17743.0,18756.0,1013.0,7843.0,11435.0,6676.0,37059.0,26822.0,1608.0,1727.0,6235.0,47034.0,295.0,1432.0,9708.0,2172.0
1959-10-01,66397.0,27972.0,39441.0,3022.0,7316.0,931.0,17988.0,19012.0,1024.0,7944.0,11469.0,6683.0,37329.0,27041.0,1634.0,1763.0,6310.0,47385.0,293.0,1471.0,9705.0,2189.5
1960-01-01,66985.0,28161.0,39654.0,3002.0,7426.5,926.0,18243.0,19289.0,1046.0,8042.0,11493.0,6681.0,37581.0,27235.0,1661.0,1811.0,6381.0,47696.0,290.0,1521.0,9682.0,2217.5
1960-04-01,67588.0,28367.0,39891.0,2987.0,7535.5,925.0,18501.0,19563.0,1063.0,8134.0,11524.0,6683.0,37848.0,27442.0,1686.0,1854.0,6447.0,48025.0,288.0,1566.0,9670.0,2246.5
1960-07-01,68204.0,28591.0,40153.0,2978.0,7637.5,927.0,18752.0,19832.0,1079.0,8220.0,11561.0,6690.0,38133.0,27664.0,1711.0,1894.0,6509.0,48373.0,288.0,1605.0,9668.0,2278.0
1960-10-01,68825.0,28833.0,40438.0,2974.0,7734.5,933.0,18990.0,20086.0,1096.0,8301.0,11606.0,6702.0,38437.0,27899.0,1734.0,1930.0,6567.0,48739.0,289.0,1640.0,9676.0,2309.0
1961-01-01,69496.0,29091.0,40748.0,2976.0,7844.5,943.0,19264.0,20372.0,1109.0,8376.0,11656.0,6718.0,38756.0,28148.0,1757.0,1962.0,6620.0,49124.0,292.0,1670.0,9694.0,2341.5
1961-04-01,70185.0,29368.0,41087.0,2980.0,7945.5,954.0,19518.0,20644.0,1125.0,8454.0,11719.0,6739.0,39105.0,28414.0,1783.0,2000.0,6672.0,49541.0,294.0,1706.0,9719.0,2376.0
1961-07-01,70961.0,29662.0,41456.0,2986.0,8075.0,965.0,19826.0,20970.0,1144.0,8535.0,11793.0,6763.0,39485.0,28697.0,1812.0,2044.0,6723.0,49991.0,296.0,1748.0,9749.0,2410.0
1961-10-01,71776.0,29974.0,41854.0,2995.0,8202.0,977.0,20137.0,21304.0,1167.0,8618.0,11880.0,6791.0,39896.0,28997.0,1844.0,2094.0,6774.0,50472.0,298.0,1796.0,9786.0,2450.0
1962-01-01,72702.0,30304.0,42283.0,3006.0,8358.5,990.0,20532.0,21716.0,1184.0,8704.0,11978.0,6824.0,40327.0,29314.0,1880.0,2149.0,6823.0,50986.0,299.0,1850.0,9829.0,2499.5
1962-04-01,73529.0,30649.0,42719.0,3019.0,8460.0,1004.0,20809.0,22015.0,1206.0,8795.0,12070.0,6858.0,40770.0,29645.0,1916.0,2193.0,6879.0,51514.0,301.0,1892.0,9877.0,2547.0
1962-07-01,74549.0,31008.0,43164.0,3036.0,8659.0,1019.0,21269.0,22493.0,1224.0,8892.0,12156.0,6894.0,41214.0,29989.0,1952.0,2226.0,6940.0,52056.0,303.0,1923.0,9930.0,2587.5
1962-10-01,75608.0,31382.0,43618.0,3055.0,8862.0,1034.0,21752.0,22996.0,1245.0,8994.0,12235.0,6933.0,41667.0,30348.0,1988.0,2248.0,7006.0,52612.0,305.0,1943.0,9988.0,2636.5
1963-01-01,76518.0,31771.0,44080.0,3077.0,8990.5,1051.0,22077.0,23337.0,1260.0,9102.0,12308.0,6973.0,42119.0,30720.0,2023.0,2258.0,7079.0,53182.0,308.0,1951.0,10050.0,2677.5
1963-04-01,77526.0,32185.0,44581.0,3100.0,9134.5,1068.0,22443.0,23726.0,1283.0,9220.0,12396.0,7021.0,42617.0,31117.0,2061.0,2275.0,7159.0,53800.0,310.0,1965.0,10121.0,2728.5
1963-07-01,78503.0,32623.0,45120.0,3123.0,9243.5,1084.0,22734.0,24036.0,1302.0,9347.0,12498.0,7076.0,43149.0,31538.0,2100.0,2298.0,7247.0,54467.0,312.0,1986.0,10199.0,2774.0
1963-10-01,79524.0,33085.0,45699.0,3148.0,9338.0,1101.0,23007.0,24341.0,1334.0,9483.0,12614.0,7138.0,43733.0,31984.0,2141.0,2328.0,7343.0,55183.0,314.0,2014.0,10286.0,2832.5
1964-01-01,80617.0,33572.0,46317.0,3173.0,9454.5,1118.0,23319.0,24671.0,1351.0,9629.0,12745.0,7208.0,44340.0,32454.0,2183.0,2364.0,7446.0,55947.0,315.0,2049.0,10381.0,2880.5
1964-04-01,81755.0,34103.0,46995.0,3205.0,9556.5,1142.0,23600.0,24971.0,1371.0,9789.0,12892.0,7285.0,45002.0,32961.0,2228.0,2402.0,7561.0,56784.0,317.0,2085.0,10490.0,2929.5
1964-07-01,82945.0,34677.0,47732.0,3244.0,9647.0,1172.0,23858.0,25252.0,1393.0,9962.0,13054.0,7368.0,45718.0,33506.0,2275.0,2442.0,7686.0,57693.0,319.0,2123.0,10612.0,2978.5
1964-10-01,84239.0,35296.0,48528.0,3290.0,9749.5,1208.0,24146.0,25562.0,1416.0,10148.0,13232.0,7459.0,46488.0,34088.0,2325.0,2484.0,7823.0,58676.0,321.0,2163.0,10749.0,3032.0
1965-01-01,85615.0,35958.0,49384.0,3342.0,9836.0,1251.0,24436.0,25883.0,1446.0,10348.0,13426.0,7557.0,47317.0,34707.0,2377.0,2527.0,7971.0,59732.0,323.0,2205.0,10899.0,3105.5
1965-04-01,87146.0,36695.0,50334.0,3397.0,9947.0,1292.0,24782.0,26258.0,1476.0,10554.0,13639.0,7664.0,48237.0,35403.0,2433.0,2577.0,8120.0,60888.0,325.0,2252.0,11062.0,3182.0
1965-07-01,88773.0,37509.0,51379.0,3456.0,10067.0,1333.0,25124.0,26629.0,1505.0,10765.0,13870.0,7782.0,49248.0,36176.0,2493.0,2633.0,8272.0,62144.0,327.0,2306.0,11237.0,3247.5
1965-10-01,90490.0,38398.0,52519.0,3517.0,10176.0,1372.0,25458.0,26990.0,1532.0,10981.0,14121.0,7909.0,50349.0,37026.0,2556.0,2695.0,8425.0,63500.0,329.0,2365.0,11426.0,3319.0
1966-01-01,92310.0,39363.0,53753.0,3581.0,10283.5,1410.0,25784.0,27354.0,1570.0,11203.0,14390.0,8047.0,51553.0,37953.0,2623.0,2763.0,8580.0,64956.0,332.0,2431.0,11628.0,3393.5
1966-04-01,94338.0,40347.0,55000.0,3648.0,10447.5,1448.0,26302.0,27914.0,1612.0,11424.0,14653.0,8181.0,52769.0,38899.0,2689.0,2824.0,8735.0,66424.0,335.0,2490.0,11829.0,3509.0
1966-07-01,96288.0,41352.0,56261.0,3717.0,10599.5,1487.0,26741.0,28384.0,1643.0,11643.0,14908.0,8311.0,53986.0,39865.0,2753.0,2880.0,8891.0,67904.0,339.0,2541.0,12028.0,3593.0
1966-10-01,98300.0,42378.0,57534.0,3790.0,10766.5,1527.0,27226.0,28904.0,1678.0,11862.0,15156.0,8438.0,55215.0,40850.0,2815.0,2929.0,9047.0,69396.0,343.0,2586.0,12227.0,3685.0
1967-01-01,100268.0,43423.0,58820.0,3865.0,10924.5,1568.0,27653.0,29368.0,1715.0,12080.0,15398.0,8561.0,56458.0,41855.0,2876.0,2972.0,9203.0,70900.0,348.0,2624.0,12425.0,3760.0
