Date,Business,Farm,Federal,General government,Gross domestic product,Gross housing value added,Households,Households and institutions,Nonfarm,Nonprofit institutions serving households,State and local
1947-01-01,198094.0,20307.0,23896.0,32636.0,243164.0,11730.0,9220.0,12434.0,177787.0,3214.0,8740.0
1947-04-01,201430.0,17025.0,22357.0,31360.0,245968.0,12060.0,9532.0,13178.0,184406.0,3646.0,9003.0
1947-07-01,206274.0,18899.0,20299.0,29594.0,249585.0,12399.0,9993.0,13717.0,187375.0,3724.0,9295.0
1947-10-01,216423.0,20006.0,19646.0,29347.0,259745.0,12756.0,10202.0,13975.0,196417.0,3773.0,9701.0
1948-01-01,221921.0,19900.0,19588.0,29649.0,265742.0,13138.0,10309.0,14172.0,202022.0,3863.0,10061.0
1948-04-01,228281.0,23550.0,19319.0,29669.0,272567.0,13500.0,10549.0,14617.0,204731.0,4069.0,10350.0
1948-07-01,233624.0,23202.0,19603.0,30438.0,279196.0,13848.0,10842.0,15134.0,210422.0,4292.0,10836.0
1948-10-01,234000.0,21747.0,19822.0,31069.0,280366.0,14187.0,11002.0,15298.0,212253.0,4295.0,11246.0
1949-01-01,227735.0,18380.0,20308.0,31684.0,275034.0,14524.0,11174.0,15615.0,209355.0,4441.0,11377.0
1949-04-01,223807.0,17871.0,20122.0,31593.0,271351.0,14869.0,11433.0,15951.0,205936.0,4518.0,11471.0
1949-07-01,225328.0,17193.0,19691.0,31419.0,272889.0,15228.0,11687.0,16143.0,208135.0,4455.0,11728.0
1949-10-01,222360.0,16894.0,19580.0,31407.0,270627.0,15603.0,12245.0,16860.0,205465.0,4616.0,11827.0
1950-01-01,232582.0,17703.0,19098.0,30988.0,280828.0,15993.0,12575.0,17258.0,214879.0,4684.0,11890.0
1950-04-01,241558.0,17902.0,19173.0,31241.0,290383.0,16419.0,12815.0,17585.0,223656.0,4770.0,12068.0
1950-07-01,257435.0,19111.0,20237.0,32622.0,308153.0,16878.0,13247.0,18096.0,238324.0,4849.0,12385.0
1950-10-01,266085.0,20186.0,22405.0,35096.0,319945.0,17372.0,13555.0,18764.0,245899.0,5209.0,12691.0
1951-01-01,278530.0,21200.0,24947.0,38039.0,336000.0,17903.0,14162.0,19431.0,257330.0,5269.0,13092.0
1951-04-01,283980.0,21899.0,26912.0,40289.0,344090.0,18447.0,14478.0,19821.0,262082.0,5342.0,13376.0
1951-07-01,288614.0,21532.0,28652.0,42444.0,351385.0,19006.0,15004.0,20328.0,267082.0,5324.0,13792.0
1951-10-01,291694.0,22012.0,29392.0,43536.0,356178.0,19577.0,15258.0,20948.0,269682.0,5690.0,14144.0
1952-01-01,293346.0,20301.0,30687.0,45012.0,359820.0,20164.0,15504.0,21461.0,273046.0,5957.0,14325.0
1952-04-01,292791.0,21071.0,31570.0,46208.0,361030.0,20752.0,16307.0,22031.0,271720.0,5724.0,14639.0
1952-07-01,297805.0,22389.0,32049.0,47134.0,367701.0,21346.0,17022.0,22761.0,275416.0,5739.0,15085.0
1952-10-01,310023.0,19388.0,32169.0,47558.0,380812.0,21941.0,17235.0,23232.0,290635.0,5996.0,15389.0
1953-01-01,316105.0,19639.0,32264.0,47995.0,387980.0,22529.0,17535.0,23879.0,296466.0,6345.0,15731.0
1953-04-01,318583.0,18886.0,32643.0,48562.0,391749.0,23117.0,18211.0,24604.0,299697.0,6393.0,15919.0
1953-07-01,317355.0,18251.0,32490.0,48570.0,391171.0,23699.0,18803.0,25245.0,299104.0,6442.0,16080.0
1953-10-01,311644.0,17918.0,32368.0,48770.0,385970.0,24274.0,19112.0,25556.0,293725.0,6444.0,16402.0
1954-01-01,310462.0,19141.0,32176.0,48879.0,385345.0,24856.0,19373.0,26004.0,291321.0,6630.0,16703.0
1954-04-01,309792.0,18215.0,32493.0,49728.0,386121.0,25389.0,19817.0,26602.0,291577.0,6785.0,17235.0
1954-07-01,313606.0,18304.0,32477.0,50168.0,390996.0,25890.0,20288.0,27223.0,295302.0,6935.0,17691.0
1954-10-01,320800.0,17125.0,32686.0,50710.0,399734.0,26358.0,20975.0,28224.0,303675.0,7250.0,18024.0
1955-01-01,333432.0,17412.0,32895.0,51109.0,413073.0,26775.0,21412.0,28532.0,316021.0,7120.0,18214.0
1955-04-01,340152.0,17871.0,33668.0,52169.0,421532.0,27216.0,21758.0,29211.0,322281.0,7453.0,18502.0
1955-07-01,347478.0,17307.0,33806.0,52728.0,430221.0,27663.0,22391.0,30015.0,330172.0,7624.0,18922.0
1955-10-01,352696.0,16496.0,34034.0,53489.0,437092.0,28120.0,23045.0,30908.0,336200.0,7863.0,19454.0
1956-01-01,354036.0,16749.0,34405.0,54482.0,439746.0,28590.0,23404.0,31228.0,337286.0,7824.0,20077.0
1956-04-01,358635.0,16906.0,34962.0,55619.0,446010.0,29101.0,23745.0,31757.0,341729.0,8012.0,20657.0
1956-07-01,361955.0,17298.0,35318.0,56633.0,451191.0,29650.0,24265.0,32603.0,344657.0,8338.0,21315.0
1956-10-01,369682.0,17320.0,35597.0,57462.0,460463.0,30237.0,24679.0,33319.0,352362.0,8640.0,21864.0
1957-01-01,377280.0,16418.0,36322.0,58614.0,469779.0,30878.0,25110.0,33885.0,360862.0,8774.0,22291.0
1957-04-01,377693.0,16811.0,36845.0,59754.0,472025.0,31500.0,25659.0,34577.0,360882.0,8918.0,22910.0
1957-07-01,383369.0,17279.0,37289.0,60781.0,479490.0,32116.0,26236.0,35340.0,366090.0,9104.0,23492.0
1957-10-01,377773.0,17167.0,37104.0,61166.0,474864.0,32728.0,26664.0,35924.0,360605.0,9261.0,24062.0
1958-01-01,368546.0,19637.0,37686.0,62284.0,467540.0,33315.0,27046.0,36710.0,348909.0,9663.0,24598.0
1958-04-01,370583.0,19663.0,38293.0,63583.0,471978.0,33959.0,27888.0,37813.0,350920.0,9926.0,25289.0
1958-07-01,382659.0,18985.0,39181.0,64923.0,485841.0,34639.0,28345.0,38259.0,363674.0,9914.0,25742.0
1958-10-01,395095.0,18063.0,39520.0,65667.0,499555.0,35356.0,28767.0,38793.0,377032.0,10027.0,26146.0
1959-01-01,404650.0,18044.0,39569.0,66062.0,510330.0,36202.0,29235.0,39617.0,386606.0,10383.0,26494.0
1959-04-01,415563.0,16939.0,39799.0,66583.0,522653.0,36954.0,29895.0,40507.0,398624.0,10612.0,26784.0
1959-07-01,416328.0,16715.0,40063.0,67184.0,525034.0,37797.0,30652.0,41522.0,399613.0,10870.0,27121.0
1959-10-01,418000.0,17561.0,40299.0,67853.0,528600.0,38682.0,31433.0,42747.0,400439.0,11314.0,27554.0
1960-01-01,429807.0,17014.0,40752.0,69230.0,542648.0,39353.0,31919.0,43612.0,412793.0,11693.0,28478.0
1960-04-01,425888.0,17973.0,41388.0,70529.0,541080.0,39945.0,32528.0,44663.0,407915.0,12135.0,29141.0
1960-07-01,428223.0,18578.0,42086.0,71932.0,545604.0,40727.0,33143.0,45449.0,409645.0,12307.0,29846.0
1960-10-01,420900.0,19118.0,42419.0,72899.0,540197.0,41610.0,33796.0,46399.0,401781.0,12603.0,30480.0
1961-01-01,424063.0,19048.0,42726.0,74042.0,545018.0,42199.0,34259.0,46913.0,405016.0,12654.0,31316.0
1961-04-01,433169.0,17658.0,43139.0,75108.0,555545.0,42857.0,34442.0,47269.0,415510.0,12827.0,31968.0
1961-07-01,443318.0,17925.0,43754.0,76428.0,567664.0,43585.0,34897.0,47918.0,425393.0,13021.0,32673.0
1961-10-01,453344.0,18699.0,44920.0,78168.0,580612.0,44451.0,35742.0,49099.0,434645.0,13357.0,33248.0
1962-01-01,464360.0,18958.0,45810.0,79649.0,594013.0,45165.0,36320.0,50004.0,445403.0,13684.0,33839.0
1962-04-01,468903.0,18373.0,46170.0,80495.0,600366.0,46088.0,36853.0,50967.0,450531.0,14114.0,34325.0
1962-07-01,475553.0,17914.0,46614.0,81438.0,609027.0,46938.0,37596.0,52036.0,457639.0,14440.0,34824.0
1962-10-01,476263.0,18402.0,47400.0,82952.0,612280.0,47928.0,38360.0,53065.0,457861.0,14705.0,35553.0
1963-01-01,483436.0,18986.0,48063.0,84531.0,621672.0,48463.0,38735.0,53704.0,464451.0,14970.0,36468.0
1963-04-01,489506.0,18325.0,48628.0,85816.0,629752.0,49121.0,39137.0,54430.0,471181.0,15293.0,37188.0
1963-07-01,502193.0,18248.0,49056.0,87005.0,644444.0,49850.0,39700.0,55246.0,483945.0,15546.0,37949.0
1963-10-01,508792.0,18413.0,50201.0,89024.0,653938.0,50681.0,40153.0,56122.0,490378.0,15970.0,38823.0
1964-01-01,522120.0,17170.0,50980.0,90659.0,669822.0,51224.0,40629.0,57043.0,504951.0,16415.0,39679.0
1964-04-01,528543.0,17088.0,51593.0,92112.0,678674.0,51876.0,41383.0,58019.0,511455.0,16636.0,40520.0
1964-07-01,539522.0,16932.0,52506.0,93778.0,692031.0,52653.0,41824.0,58731.0,522590.0,16907.0,41272.0
1964-10-01,542491.0,18169.0,52943.0,95141.0,697319.0,53631.0,42348.0,59686.0,524323.0,17338.0,42198.0
1965-01-01,560968.0,19107.0,53056.0,96279.0,717790.0,54405.0,42870.0,60543.0,541861.0,17673.0,43223.0
1965-04-01,570446.0,19880.0,53575.0,97889.0,730191.0,55249.0,43637.0,61855.0,550567.0,18218.0,44315.0
1965-07-01,585606.0,20129.0,54851.0,100434.0,749323.0,56196.0,44515.0,63282.0,565477.0,18767.0,45583.0
1965-10-01,603522.0,20649.0,56896.0,103569.0,771857.0,57141.0,45352.0,64766.0,582873.0,19414.0,46673.0
1966-01-01,623811.0,22788.0,58247.0,106314.0,795734.0,57916.0,45827.0,65609.0,601023.0,19782.0,48067.0
1966-04-01,629303.0,20288.0,59621.0,109108.0,804981.0,58675.0,46161.0,66570.0,609015.0,20409.0,49487.0
1966-07-01,638626.0,20116.0,61714.0,112664.0,819638.0,59640.0,47152.0,68349.0,618510.0,21196.0,50950.0
1966-10-01,648072.0,20115.0,62950.0,115411.0,833302.0,60819.0,48120.0,69819.0,627957.0,21699.0,52461.0
1967-01-01,655474.0,20180.0,64186.0,117699.0,844170.0,61797.0,48757.0,70996.0,635295.0,22240.0,53513.0
1967-04-01,656857.0,19536.0,65150.0,119919.0,848983.0,62696.0,49390.0,72207.0,637321.0,22818.0,54769.0
1967-07-01,668778.0,20520.0,66326.0,122895.0,865233.0,63821.0,50112.0,73561.0,648258.0,23449.0,56569.0
1967-10-01,679583.0,20240.0,68603.0,126860.0,881439.0,64945.0,50985.0,74996.0,659343.0,24012.0,58257.0
1968-01-01,702564.0,20244.0,69887.0,130385.0,909387.0,65963.0,51654.0,76437.0,682320.0,24784.0,60498.0
1968-04-01,722713.0,19836.0,71292.0,133626.0,934344.0,66783.0,52501.0,78005.0,702878.0,25504.0,62333.0
1968-07-01,733365.0,20725.0,73564.0,137689.0,950825.0,67936.0,53276.0,79771.0,712640.0,26495.0,64126.0
1968-10-01,746379.0,21176.0,73812.0,139873.0,968030.0,69364.0,54219.0,81778.0,725203.0,27559.0,66061.0
1969-01-01,767526.0,20941.0,74443.0,142200.0,993337.0,70685.0,55308.0,83611.0,746585.0,28303.0,67756.0
1969-04-01,778108.0,22378.0,75326.0,145130.0,1009020.0,72240.0,56503.0,85782.0,755729.0,29279.0,69804.0
1969-07-01,791038.0,23307.0,78787.0,150754.0,1029956.0,73875.0,57670.0,88164.0,767732.0,30494.0,71967.0
1969-10-01,794169.0,24674.0,79230.0,153354.0,1038147.0,75394.0,58822.0,90623.0,769495.0,31801.0,74125.0
1970-01-01,801197.0,24137.0,81510.0,158227.0,1051200.0,76542.0,59550.0,91776.0,777059.0,32227.0,76718.0
1970-04-01,812661.0,23014.0,82161.0,161373.0,1067375.0,77798.0,60325.0,93341.0,789647.0,33017.0,79212.0
1970-07-01,826346.0,24181.0,82745.0,164312.0,1086059.0,79399.0,61518.0,95400.0,802165.0,33882.0,81567.0
1970-10-01,823574.0,23406.0,83404.0,167173.0,1088608.0,81396.0,63223.0,97860.0,800168.0,34638.0,83769.0
1971-01-01,860941.0,24581.0,86455.0,173251.0,1135156.0,83317.0,64847.0,100963.0,836360.0,36116.0,86797.0
1971-04-01,876657.0,24954.0,87215.0,176427.0,1156271.0,85375.0,66234.0,103187.0,851703.0,36953.0,89212.0
1971-07-01,892929.0,25118.0,87543.0,179161.0,1177675.0,87528.0,67987.0,105586.0,867810.0,37599.0,91618.0
1971-10-01,899608.0,26830.0,88727.0,182279.0,1190297.0,89574.0,69565.0,108410.0,872778.0,38844.0,93552.0
1972-01-01,931880.0,24536.0,91454.0,187949.0,1230609.0,91498.0,71002.0,110780.0,907343.0,39778.0,96495.0
1972-04-01,963224.0,27568.0,91284.0,190239.0,1266369.0,93024.0,72059.0,112905.0,935656.0,40846.0,98955.0
