Date,Compensation of general government employees,Consumption of general government fixed capital,Defense consumption expenditures,Durable goods,Federal consumption expenditures,Government consumption expenditures,Gross output of general government,Health and hospital charges,Intermediate goods and services purchased,Less: Own-account investment,Less: Sales to other sectors,Nondefense consumption expenditures,Nondurable goods,Other nondurable goods,Other sales,Services,State and local consumption expenditures,Tuition and related educational charges,Value added
1947-01-01,48.8644,22.7516,43.945,3.3486,32.111,21.299,24.531,3.076,4.5414,8.0502,63.8586,14.057,8.02675,11.625,6.126,8.0002,13.838,4.425,37.507999999999996
1947-04-01,46.36,21.733,40.778,3.6120000000000005,31.655,21.203,24.3768,3.095,5.530800000000001,7.925199999999999,49.4192,18.604,7.578749999999999,13.429,6.281,9.286800000000001,14.08,4.589,35.702200000000005
1947-07-01,45.9512,20.7996,40.607,4.5562,30.394,20.758,22.82,3.178,8.264,8.0344,14.976400000000002,15.413,11.199750000000002,3.983,6.378,5.4079999999999995,14.333,4.709,34.968599999999995
1947-10-01,44.12,19.952199999999998,41.299,4.322799999999999,29.294,20.311,21.979999999999997,3.359,6.2588,8.3386,13.9004,11.509,9.9755,4.07,6.372,5.6174,14.408,4.824,33.6796
1948-01-01,46.1468,19.1912,39.881,7.681400000000001,29.219,20.169,22.376799999999996,3.477,6.816599999999999,8.985,33.7928,13.445,11.51075,6.795,6.18,7.054,14.177,5.137,33.9682
1948-04-01,45.8584,18.51,38.444,7.1838,30.361,20.706,23.1084,3.622,7.3818,9.7098,17.1084,18.96,10.987,10.936,6.36,8.1442,14.231,5.485,33.3818
1948-07-01,47.7832,17.9046,38.346,7.9458,31.17,21.079,23.7638,3.824,8.7818,10.2654,16.2432,21.39,13.139750000000001,10.692,6.334,7.872800000000001,14.261,5.827,33.787400000000005
1948-10-01,49.3542,17.3714,39.37,8.7378,32.377,21.707,24.9082,4.002,10.1898,10.642,28.777800000000003,23.028,17.23425,13.54,6.557,9.1354,14.459,5.966,34.1002
1949-01-01,49.163799999999995,16.913,39.347,8.3332,32.298,21.929,24.641399999999997,4.176,9.9466,10.075999999999999,11.976600000000001,22.853,19.90825,7.445,6.862,6.6934,14.947,6.151,33.759
1949-04-01,49.2568,16.4816,39.204,9.1502,33.014,22.443,25.313,4.247,10.5626,10.2488,11.7868,25.081,20.6385,9.482,7.232,8.297999999999998,15.335,6.338,33.541199999999996
1949-07-01,48.900600000000004,16.0774,38.872,9.858799999999999,31.811,22.127,24.698600000000003,4.181,11.4488,10.6966,17.9188,22.34,22.66875,10.226,7.513,8.3206,15.745,6.525,33.1556
1949-10-01,47.438599999999994,15.6992,36.898,8.7356,30.409,21.678,23.8692,4.135,11.2544,10.8096,13.064600000000002,21.81,23.7635,10.133,7.794,7.8498,16.067,6.515,32.3116
1950-01-01,46.7436,15.3476,37.022,12.417399999999999,30.007,21.722,23.6664,4.066,13.5348,10.7048,12.7118,20.528,28.11775,8.624,8.212,7.762600000000001,16.495,6.256,31.775
1950-04-01,48.9422,15.0728,37.431,12.6726,30.451,21.933,24.7092,3.983,9.323,10.9626,50.97500000000001,21.024,15.445,6.82,8.419,7.469799999999999,16.516,6.388,32.5128
1950-07-01,51.541599999999995,14.8766,39.195,14.3256,28.979,21.254,22.642,3.959,7.678800000000001,12.2546,10.318000000000001,13.896,15.412749999999999,6.674,8.389,6.7806,16.449,6.128,33.4806
1950-10-01,60.742399999999996,14.758799999999999,45.278,15.9816,33.503,23.207,25.3732,3.994,8.6742,12.4326,10.6702,16.151,16.727249999999998,4.287,8.316,6.1659999999999995,16.422,6.014,37.258
1951-01-01,63.473400000000005,14.718799999999998,54.781,21.0918,38.434,25.3,29.151600000000002,4.031,15.494,12.806000000000001,126.14199999999998,13.618,40.15475,5.857,8.066,11.473,16.318,6.088,38.415800000000004
1951-04-01,72.1396,14.795999999999998,64.693,28.245600000000003,44.954,28.153,31.933999999999997,4.064,16.9802,13.9488,14.4482,14.993,38.49325,6.866,8.11,11.552800000000001,16.348,6.024,42.0728
1951-07-01,77.6548,14.987800000000002,74.903,33.4622,51.173,30.892,35.5598,3.991,21.5432,15.0442,13.665200000000002,15.066,38.594750000000005,6.679,8.167,15.9904,16.45,6.149,44.4994
1951-10-01,77.9716,15.2942,77.607,41.033,52.844,31.665,36.5332,4.062,22.9406,15.293199999999999,12.216800000000001,15.167,37.7055,9.487,8.174,16.223,16.548,6.139,44.8758
1952-01-01,79.953,15.713,81.593,47.8124,56.055,32.928,38.4484,4.091,25.5534,16.418,10.283,17.218,46.0815,12.438,8.24,16.6566,16.36,6.317,46.00359999999999
1952-04-01,81.1368,16.137,86.766,52.751,58.873,34.456,40.366,4.089,28.8228,17.1752,18.5104,16.407,51.98125,8.244,8.32,17.9852,16.964,6.312,46.8074
1952-07-01,81.1876,16.5672,88.329,55.414,60.327,34.796,41.044799999999995,4.144,29.9048,18.0226,10.8714,17.7,54.44225,8.608,8.387,18.102800000000002,16.467,6.492,47.1534
1952-10-01,79.7448,17.0032,89.667,59.01360000000001,61.206,35.303,41.7082,4.154,31.641400000000004,18.538800000000002,13.862199999999998,17.874,57.36725,6.828,8.494,18.1092,16.709,6.673,46.8892
1953-01-01,79.5818,17.4454,90.382,62.619600000000005,62.598,36.077,42.794,4.16,33.322199999999995,19.464000000000002,14.021199999999999,20.312,85.76025,6.834,8.619,13.607400000000002,17.033,6.855,47.158
1953-04-01,79.1138,17.8602,89.548,66.58399999999999,64.105,36.685,43.891000000000005,4.282,34.9936,19.266399999999997,12.903200000000002,25.339,88.22025,9.653,8.687,12.455000000000002,16.974,7.033,47.2822
1953-07-01,78.51180000000001,18.2518,89.015,57.07899999999999,62.453,36.191,42.861,4.333,32.91459999999999,19.3254,12.820599999999999,22.021,89.251,9.528,8.704,14.666400000000001,17.342,6.971,47.3372
1953-10-01,76.7864,18.6222,89.777,53.6254,63.081,36.452,43.2298,4.487,34.201800000000006,19.0834,13.113,22.439,91.3175,10.201,8.812,17.6272,17.327,7.087,46.9012
1954-01-01,75.4188,18.970000000000002,82.109,46.6038,58.965,34.844,41.031600000000005,4.544,29.687400000000004,19.2866,13.3252,23.706,62.54174999999999,9.538,8.873,16.4846,17.581,7.198,46.5906
1954-04-01,74.747,19.2708,78.958,47.7752,55.844,33.578,39.398399999999995,4.74,26.451,19.0898,30.0636,20.643,59.81875,9.263,9.059,12.5192,17.686,7.486,46.5338
1954-07-01,74.3708,19.5298,77.357,41.2628,54.596,33.255,38.4328,4.833,24.445999999999998,18.6718,13.481399999999999,19.934,58.33975,8.315,9.294,12.704400000000001,18.054,7.648,46.573
1954-10-01,74.0474,19.7484,74.673,41.3922,54.315,33.215,38.5566,4.892,24.3662,18.3572,17.4844,23.318,56.211,9.051,9.529,10.6306,18.198,7.93,46.611599999999996
1955-01-01,73.32820000000001,19.9222,75.253,39.2736,53.518,33.213,38.2946,5.02,24.2464,18.3998,35.748599999999996,20.433,34.839749999999995,7.99,9.88,16.44,18.806,8.207,46.4386
1955-04-01,71.93039999999999,20.0926,71.69,40.312400000000004,51.812,32.555,38.8806,5.215,25.4702,18.358600000000003,117.56620000000001,21.54,39.744499999999995,13.024,10.097,15.311000000000002,18.937,8.303,45.9784
1955-07-01,72.036,20.2626,73.859,37.1482,53.461,33.358,38.4776,5.404,24.8044,18.5266,36.2836,22.413,35.91225,5.491,10.221,15.908199999999999,19.115,8.509,46.1676
1955-10-01,71.9892,20.4322,71.771,33.6696,51.591,32.662,37.3692,5.637,22.413400000000003,18.558799999999998,35.8326,20.86,31.772,6.562,10.279,15.437999999999999,19.306,9.005,46.2954
1956-01-01,71.73740000000001,20.5982,71.259,33.569599999999994,50.87,32.349,36.8346,5.826,21.3452,18.9982,27.955599999999997,19.805,29.69175,10.089,10.13,16.2258,19.295,9.195,46.318599999999996
1956-04-01,71.2662,20.7798,73.2,38.129000000000005,51.978,32.994,37.819599999999994,6.008,23.4742,19.7122,46.351800000000004,19.629,30.209500000000002,10.111,10.114,17.5668,19.604,9.445,46.2934
